,PC1,PC2,PC3,PC4
steps,0.5798496035392806,0.06860085241233137,-0.13161074417867943,-0.3745334957362609
activeKilocalories,0.5275420317406234,-0.06441609283610983,-0.10931663818611928,0.8399980351888721
distanceInMeters,0.5793452597526744,0.06750632012249734,-0.1360406567723428,-0.3778629832569773
averageStressLevel,0.21423768151506195,-0.46638870072043365,0.8562188261718195,-0.058889854439111225
deep_sleep_ratio,0.0627305973466777,0.876965772773291,0.46809266822534173,0.08876661747914424
