,因子1,因子2
sleep_hours,0.1016179503777741,1.0158583409039794
deep_sleep_ratio,0.9636825357660298,-0.06689483104310563
deepSleepDurationInSeconds,1.0178185681397716,0.11739865717716556
lightSleepDurationInSeconds,-0.3328026842726237,0.7114706611462022
remSleepInSeconds,-0.6097394317504662,0.28834543923933337
durationInSeconds,0.09711620675441653,0.038898767937649216
